备注	界面序号	控件序号	控件类型	控件坐标X	控件坐标Y	控件宽度W	控件长度H	控件回调号码	控件事件号码	属性													
背景(顶层界面)	0	0	1	0	0	480	272	0	0	00000000|00000000	33|0|0	135177|9|0	65537|212|0											
左边功能栏容器	0	1	0	0	0	56	272	0	0	00000002|00000000	33|0|0												
主页	0	2	1	0	0	56	54	0	0	00000000|00000000	65540|1|0	135177|9|0											
文件	0	3	1	0	54	56	54	0	0	00000000|00000000	65540|1|0	135177|9|0											
控制	0	4	1	0	108	56	54	0	0	00000000|00000000	65540|1|0	135177|9|0											
设置	0	5	1	0	162	56	54	0	0	00000000|00000000	65540|1|0	135177|9|0											
校准	0	6	1	0	216	56	56	0	0	00000000|00000000	65540|1|0	135177|9|0											
上边功能栏容器	0	7	1	56	0	424	32	0	0	00000002|00000000	33|0|0												
操作1	0	8	1	11	5	96	27	0	0	00000000|00000000	65540|7|0	33|0|0	65539|12|0	5213|2|0						
操作2	0	9	1	114	5	96	27	0	0	00000000|00000000	65540|7|0	33|0|0	65539|12|0	5213|2|0						
操作3	0	10	1	215	5	96	27	0	0	00000000|00000000	65540|7|0	33|0|0	65539|12|0	5213|2|0						
操作4	0	11	1	317	5	96	27	0	0	00000000|00000000	65540|7|0	33|0|0	65539|12|0	5213|2|0						
息屏	0	12	1	0	0	480	272	0	0	00000000|00000000	32|#FF000000|0											
容器(主界面)	1	0	1	66	10	404	252	0	0	00000002|00000000	32|#FF1E1E20|0	96|10|0	1111|#FF22D000|0	65539|16|0	135177|2|0	266247|24|0	266248|15|0						
照明灯	1	1	1	22	44	56	50	0	0	00000000|00000000	65540|0|0	32|#FF383837|0	32|#FF505050|0020	96|10|0	135177|9|0									
网络	1	2	1	86	44	56	50	0	0	00000002|00000000	65540|0|0	32|#FF383837|0	32|#FF505050|0020	96|10|0	135177|9|0									
喷头温度	1	3	1	22	102	56	50	0	0	00000000|00000000	65540|0|0	32|#FF383837|0	32|#FF505050|0020	96|10|0	1111|#FFFFFFFF|0	65539|10|0	135177|2|0	135176|7|0	266249|2|0	266248|33|0				
热床温度	1	4	1	86	102	56	50	0	0	00000000|00000000	65540|0|0	32|#FF383837|0	32|#FF505050|0020	96|10|0	1111|#FFFFFFFF|0	65539|10|0	135177|2|0	135176|7|0	266249|2|0	266248|33|0				
风扇	1	5	1	22	160	56	50	0	0	00000000|00000000	65540|0|0	32|#FF383837|0	32|#FF505050|0020	96|10|0	135177|9|0	65537|15|0								
箱体温度	1	6	1	130	200	40	40	0	0	00000002|00000000	65540|0|0	33|0|0	1111|#FFFFFFFF|0	65539|10|0	135177|2|0	266249|2|0	266248|27|0	65537|16|0					
IP	1	7	3	22	225	0	0	0	0	00000000|00000000	65540|0|0	1111|#FFFFFFFF|0	65539|12|0										
上边功能栏容器(控制界面)	2	0	1	56	0	424	32	0	0	00000002|00000000	33|0|0												
控制	2	1	1	10	5	96	27	0	0	00000000|00000000	65540|0|0	33|0|0	65539|12|0	266249|9|0	266241|96|0	5213|2|0	65538|1|0						
设置	2	2	1	114	5	96	27	0	0	00000000|00000000	65540|0|0	33|0|0	65539|12|0	266249|9|0	266241|96|0	5213|2|0	65538|2|0						
控制页容器	2	3	0	0	0	480	272	0	0	00000002|00000000	33|0|0												
风扇页容器	2	4	0	0	0	480	272	0	0	00000002|00000000	33|0|0												
控制容器	2	5	1	66	42	262	220	0	0	00000002|00000000	65540|3|0	33|0|0	65537|226|0										
设置容器	2	6	1	338	42	64	220	0	0	00000002|00000000	65540|3|0	33|0|0	96|10|0	97|1|0	65537|25|0								
打印速度容器	2	7	1	172	42	150	220	0	0	00000000|00000000	65540|3|0	33|0|0	96|10|0	97|1|0	1111|#FFFFFFFF|0	65539|12|0	266249|2|0	266248|5|0	266241|146|0	5213|2|0	65537|52|0	65538|3|0	
数字键盘容器	2	8	0	74	42	246	220	0	0	00000000|00000000	65540|3|0	33|0|0											
蒙板容器	2	9	0	0	0	480	272	0	0	00000000|00000000	65540|3|0	32|#FF000000|0	33|77|0										
刻度容器	2	10	0	10	10	242	38	0	0	00000002|00000000	65540|5|0	32|#FF383837|0	96|10|0											
01MM	2	11	1	0	0	61	38	0	0	00000000|00000000	65540|10|0	33|0|0	96|10|0	1111|#FFFFFFFF|0	65539|12|0	266249|9|0	135177|9|0	65537|213|0									
1.MM	2	12	1	60	0	61	38	0	0	00000000|00000000	65540|10|0	33|0|0	96|10|0	1111|#FFFFFFFF|0	65539|12|0	266249|9|0	135177|9|0	65537|213|0									
10MM	2	13	1	120	0	61	38	0	0	00000000|00000000	65540|10|0	33|0|0	96|10|0	1111|#FFFFFFFF|0	65539|12|0	266249|9|0	135177|9|0	65537|213|0									
30MM	2	14	1	180	0	62	38	0	0	00000000|00000000	65540|10|0	33|0|0	96|10|0	1111|#FFFFFFFF|0	65539|12|0	266249|9|0	135177|9|0	65537|213|0									
Z轴上升	2	15	1	10	58	42	42	0	0	00000000|00000000	65540|5|0	32|#FF383837|0	32|#FF505050|0020	96|6|0	135177|9|0	65537|26|0						
Z轴下降	2	16	1	10	168	42	42	0	0	00000000|00000000	65540|5|0	32|#FF383837|0	32|#FF505050|0020	96|6|0	135177|9|0	65537|28|0						
X轴减	2	17	1	62	87	42	94	0	0	00000000|00000000	65540|5|0	33|0|0	65539|10|0	266247|11|0	266248|42|0	1111|#FFFFFFFF|0	1111|#FFFFFFFF|0020				
X轴加	2	18	1	158	88	41	91	0	0	00000000|00000000	65540|5|0	33|0|0	65539|10|0	266247|15|0	266248|41|0	1111|#FFFFFFFF|0	1111|#FFFFFFFF|0020				
Y轴加	2	19	1	84	64	94	42	0	0	00000000|00000000	65540|5|0	33|0|0	65539|10|0	266247|38|0	266248|11|0	1111|#FFFFFFFF|0	1111|#FFFFFFFF|0020				
Y轴减	2	20	1	86	160	93	42	0	0	00000000|00000000	65540|5|0	33|0|0	65539|10|0	266247|39|0	266248|20|0	1111|#FFFFFFFF|0	1111|#FFFFFFFF|0020				
Z轴归零	2	21	1	10	113	42	42	0	0	00000000|00000000	65540|5|0	32|#FF383837|0	32|#FF505050|0020	96|6|0	135177|9|0	65537|38|0						
X轴归零	2	22	1	210	58	42	42	0	0	00000000|00000000	65540|5|0	32|#FF383837|0	32|#FF505050|0020	96|6|0	135177|9|0	65537|40|0						
Y轴归零	2	23	1	210	113	42	42	0	0	00000000|00000000	65540|5|0	32|#FF383837|0	32|#FF505050|0020	96|6|0	135177|9|0	65537|42|0						
ALL归零	2	24	1	111	114	40	40	0	0	00000000|00000000	65540|5|0	32|#FF383837|0	32|#FF505050|0020	96|20|0	135177|9|0	65537|44|0						
电机关闭	2	25	1	210	168	42	42	0	0	00000000|00000000	65540|5|0	32|#FF383837|0	32|#FF505050|0020	96|6|0	135177|9|0	65537|46|0						
挤出机容器	2	26	1	402	32	76	240	0	0	00000000|00000000	65540|3|0	33|0|0	1111|#FFFFFFFF|0	135175|24|0	135176|89|0	266249|2|0	266248|10|0	65537|250|0	65538|293|0	65539|12|0							
上键	2	27	1	17	34	42	42	0	0	00000000|00000000	65540|26|0	96|6|0	32|#FF1E1E20|0	32|#FF505050|0020	135177|9|0	65537|251|0				
下键	2	28	1	17	188	42	42	0	0	00000000|00000000	65540|26|0	96|6|0	32|#FF1E1E20|0	32|#FF505050|0020	135177|9|0	65537|252|0				
喷头温度	2	29	1	0	0	64	54	0	0	00000000|00000000	65540|6|0	65539|14|0	1111|#FFFFFFFF|0	266248|11|0	266247|24|0	135176|6|0	135175|3|0	65537|48|0				
热床温度	2	30	1	0	55	64	53	0	0	00000000|00000000	65540|6|0	65539|14|0	1111|#FFFFFFFF|0	266248|12|0	266247|25|0	135176|8|0	135175|2|0	65537|49|0				
箱体温度	2	31	1	0	110	64	53	0	0	00000002|00000000	65540|6|0	33|0|0	65539|14|0	1111|#FFFFFFFF|0	266249|2|0	266248|35|0	135176|6|0	135175|17|0	65537|50|0				
打印速度	2	32	1	0	165	64	55	0	0	00000000|00000000	65540|6|0	65539|12|0	1111|#FFFFFFFF|0	266249|2|0	266248|30|0	266241|60|0	135177|2|0	135176|4|0	65537|51|0	5213|2|0		
喷头实际温度	2	33	3	0	0	0	0	0	0	00000000|00000000	65540|29|0	65539|18|0	1111|#FFFFFFFF|0	4105|2|0	4104|33|0				
热床实际温度	2	34	3	0	0	0	0	0	0	00000000|00000000	65540|30|0	65539|18|0	1111|#FFFFFFFF|0	4105|2|0	4104|33|0				
进料	2	35	1	0	176	70	44	0	0	00000000|00000000	65540|6|0	32|#FF3C3E3B|0	32|#FF2A2A2A|0020	65539|12|0	1111|#FFFFFFFF|0	266249|9|0	266241|70|0	5213|2|0	65538|7|0					
退料	2	36	1	72	176	70	44	0	0	00000000|00000000	65540|6|0	32|#FF3C3E3B|0	32|#FF2A2A2A|0020	65539|12|0	1111|#FFFFFFFF|0	266249|9|0	266241|70|0	5213|2|0	65538|8|0					
狂暴	2	37	1	24	32	102	36	0	0	00000000|00000000	65540|7|0	32|#FF1E1E20|0	96|10|0	65539|14|0	1111|#FFFFFFFF|0	266249|9|0	266241|100|0	5213|2|0	65538|4|0	135177|9|0	65537|258|0		
运动	2	38	1	24	78	102	36	0	0	00000000|00000000	65540|7|0	32|#FF1E1E20|0	96|10|0	65539|14|0	1111|#FFFFFFFF|0	266249|9|0	266241|100|0	5213|2|0	65538|5|0	135177|9|0	65537|258|0		
均衡	2	39	1	24	124	102	36	0	0	00000000|00000000	65540|7|0	32|#FF1E1E20|0	96|10|0	65539|14|0	1111|#FFFFFFFF|0	266249|9|0	266241|100|0	5213|2|0	65538|6|0	135177|9|0	65537|258|0		
静音	2	40	1	24	170	102	36	0	0	00000000|00000000	65540|7|0	32|#FF1E1E20|0	96|10|0	65539|14|0	1111|#FFFFFFFF|0	266249|9|0	266241|100|0	5213|2|0	65538|12|0	135177|9|0	65537|258|0		
XY加减样式图	2	41	2	62	65	0	0	0	0	00000000|00000000	65540|5|0											
主容器(风扇界面)	3	0	0	66	42	404	220	0	0	00000002|00000000	32|#FF1E1E20|0	96|10|0											
辅助风扇容器	3	1	1	10	10	186	200	0	0	00000002|00000000	65540|0|0	32|#FF2F302F|0	96|10|0	65539|12|0	1111|#FFFFFFFF|0	266249|2|0	266248|12|0	266241|96|0	5213|2|0	135177|2|0	135176|26|0	65537|58|0	65538|9|0
模型风扇容器	3	2	1	207	10	186	151	0	0	00000002|00000000	65540|0|0	32|#FF2F302F|0	96|10|0	65539|12|0	1111|#FFFFFFFF|0	266249|2|0	266248|12|0	266241|96|0	5213|2|0	135177|2|0	135176|26|0	65537|58|0	65538|10|0
机箱风扇容器	3	3	1	207	171	186	39	0	0	00000002|00000000	65540|0|0	32|#FF2F302F|0	96|10|0	65539|12|0	1111|#FFFFFFFF|0	266249|7|0	266247|49|0	266241|96|0	5213|1|0	135177|7|0	135175|10|0	65537|59|0	65538|11|0
辅助风扇开关	3	4	1	0	0	54	37	0	0	00000000|00000000	65540|1|0	33|0|0	135177|9|0										
辅助风扇加	3	5	1	16	62	28	28	0	0	00000000|00000000	65540|1|0	32|#FF3C3E3B|0	32|#FF2A2A2A|0020	96|14|0	135177|9|0	65537|62|0						
辅助风扇减	3	6	1	144	62	28	28	0	0	00000000|00000000	65540|1|0	32|#FF3C3E3B|0	32|#FF2A2A2A|0020	96|14|0	135177|9|0	65537|64|0						
辅助风扇值	3	7	3	0	0	0	0	0	0	00000000|00000000	65540|1|0	65539|12|0	1111|#FFFFFFFF|0	4105|2|0	4104|115|0								
辅助风扇静音	3	8	1	11	161	48	30	0	0	00000000|00000000	65540|1|0	96|10|0	135177|9|0	65537|66|0										
辅助风扇正常	3	9	1	69	161	48	30	0	0	00000000|00000000	65540|1|0	96|10|0	135177|9|0	65537|68|0										
辅助风扇狂暴	3	10	1	127	161	48	30	0	0	00000000|00000000	65540|1|0	96|10|0	135177|9|0	65537|70|0										
风量调节标签	3	11	1	33	130	120	30	0	0	00000000|00000000	65540|1|0	33|0|0	65539|12|0	1111|#FFFFFFFF|0	266241|120|0	266249|9|0	5213|2|0	65538|346|0										
模型风扇开关	3	12	1	0	0	54	37	0	0	00000000|00000000	65540|2|0	33|0|0	135177|9|0										
模型风扇加	3	13	1	16	62	28	28	0	0	00000000|00000000	65540|2|0	32|#FF3C3E3B|0	32|#FF2A2A2A|0020	96|14|0	135177|9|0	65537|62|0						
模型风扇减	3	14	1	144	62	28	28	0	0	00000000|00000000	65540|2|0	32|#FF3C3E3B|0	32|#FF2A2A2A|0020	96|14|0	135177|9|0	65537|64|0						
模型风扇值	3	15	3	0	0	0	0	0	0	00000000|00000000	65540|2|0	65539|12|0	1111|#FFFFFFFF|0	4105|2|0	4104|115|0								
机箱风扇开关	3	16	1	136	0	50	39	0	0	00000000|00000000	65540|3|0	33|0|0	135177|9|0		
第二版辅助风扇容器	3	17	1	10	10	243	200	0	0	00000002|00000000	33|0|0	65540|0|0	266249|2|0	266241|96|0	5213|2|0	135177|2|0	14350|128|0	65537|350|0	 			
第二版模型风扇容器	3	18	1	232	10	162	200	0	0	00000002|00000000	65540|0|0	32|#FF2F302F|0	96|10|0	65539|12|0	1111|#FFFFFFFF|0	266249|2|0	266248|12|0	266241|96|0	5213|2|0	135177|2|0	135176|47|0	65537|58|0	65538|10|0
第二版模型风扇开关	3	19	1	17	10	54	37	0	0	00000000|00000000	65540|18|0	33|0|0										
第二版模型风扇加	3	20	1	109	173	36	20	0	0	00000000|00000000	65540|18|0	32|#FF3C3E3B|0	32|#FF2A2A2A|0020	96|14|0	135177|9|0	65537|352|0						
第二版模型风扇减	3	21	1	17	173	36	20	0	0	00000000|00000000	65540|18|0	32|#FF3C3E3B|0	32|#FF2A2A2A|0020	96|14|0	135177|9|0	65537|351|0						
第二版模型风扇值	3	22	3	0	0	0	0	0	0	00000000|00000000	65540|18|0	65539|12|0	1111|#FFFFFFFF|0	4105|2|0	4104|175|0								
上边功能栏容器(文件界面)	4	0	1	56	0	424	32	0	0	00000002|00000000	33|0|0												
本地	4	1	1	11	5	106	27	0	0	00000000|00000000	65540|0|0	33|0|0	65539|12|0	1111|#FFFFFFFF|0	266249|9|0	266241|106|0	5213|2|0	65538|15|0						
U 盘	4	2	1	127	5	106	27	0	0	00000000|00000000	65540|0|0	33|0|0	65539|12|0	1111|#FFFFFFFF|0	266249|9|0	266241|106|0	5213|2|0	65538|16|0						
历史	4	3	1	243	5	106	27	0	0	00000000|00000000	65540|0|0	33|0|0	65539|12|0	1111|#FFFFFFFF|0	266249|9|0	266241|106|0	5213|2|0	65538|17|0						
本地/U盘页容器	4	4	0	0	0	480	272	0	0	00000002|00000000	33|0|0					   							
打印历史页容器	4	5	0	0	0	480	272	0	0	00000002|00000000	33|0|0												
文件信息页容器	4	6	0	0	0	480	272	0	0	00000002|00000000	33|0|0												
本地/U盘列表容器	4	7	0	63	39	410	230	0	0	00000000|00000000	65540|4|0	33|0|0											
打印历史信息	4	8	1	66	41	404	220	0	0	00000002|00000000	65540|5|0	33|0|0	135177|9|0	65537|77|0							
文件名称标签	4	9	1	42	0	98	36	0	0	00000002|00000000	65540|8|0	33|0|0	65539|12|0	1111|#FFFFFFFF|0	266249|9|0	266241|98|0	5213|2|0	65538|23|0					
开始时间标签	4	10	1	141	0	98	36	0	0	00000002|00000000	65540|8|0	33|0|0	65539|12|0	1111|#FFFFFFFF|0	266249|9|0	266241|98|0	5213|2|0	65538|24|0					
总共耗时标签	4	11	1	240	0	98	36	0	0	00000002|00000000	65540|8|0	33|0|0	65539|12|0	1111|#FFFFFFFF|0	266249|9|0	266241|98|0	5213|2|0	65538|25|0					
状态标签	4	12	1	342	0	61	36	0	0	00000002|00000000	65540|8|0	33|0|0	65539|12|0	1111|#FFFFFFFF|0	266249|9|0	266241|61|0	5213|2|0	65538|26|0					
打印历史列表容器	4	13	0	0	36	404	184	0	0	00000000|00000000	65540|8|0	33|0|0											
切页容器	4	14	1	438	116	42	102	0	0	00000002|00000000	33|0|0	65539|12|0	1111|#FFFFFFFF|0	266249|9|0									
上一页	4	15	1	0	0	41	41	0	0	00000000|00000000	65540|14|0	33|0|0	135177|9|0	65537|78|0	65537|79|0020								
下一页	4	16	1	0	60	41	41	0	0	00000000|00000000	65540|14|0	33|0|0	135177|9|0	65537|80|0	65537|81|0020								
导入及删除容器	4	17	1	303	92	120	74	0	0	00000002|00000000	33|0|0	96|4|0	97|1|0	135177|9|0	65537|89|0								
导入	4	18	1	0	0	120	36	0	0	00000000|00000000	65540|17|0	32|#FF3C3E3B|0	32|#FF2A2A2A|0020	65539|10|0	1111|#FFFFFFFF|0	266249|9|0	266241|120|0	5213|2|0				
删除	4	19	1	0	38	120	36	0	0	00000000|00000000	65540|17|0	32|#FF3C3E3B|0	32|#FF2A2A2A|0020	65539|10|0	1111|#FFFFFFFF|0	266249|9|0	266241|120|0	5213|2|0	65538|28|0				
容器(文件列表项界面)	5	0	1	0	0	97	109	0	0	00000000|00000000	32|#FF1E1E20|0	96|10|0	4146|1|0	48|#FF1E1E20|0	48|#FF49AE35|0020								
预览图	5	1	1	0	0	97	66	0	0	00000002|00000000	65540|0|0	33|0|0	135177|9|0				
名称	5	2	3	0	0	0	0	0	0	00000002|00000000	65540|0|0	33|0|0	65539|11|0	1111|#FFFFFFFF|0	4105|2|0	4104|66|0	4097|92|0	4100|26|0	5213|2|0				
时间	5	3	1	0	90	60	14	0	0	00000002|00000000	65540|0|0	33|0|0	65539|10|0	1111|#FFFFFFFF|0	266249|7|0	266247|20|0	135177|7|0	135175|5|0	65537|83|0				
层数	5	4	1	60	90	36	14	0	0	00000002|00000000	65540|0|0	33|0|0	65539|10|0	1111|#FFFFFFFF|0	266249|7|0	266247|14|0	135177|7|0	135175|0|0	65537|84|0				
选框	5	5	1	2	0	38	38	0	0	00000002|00000000	65540|0|0	33|0|0	135177|9|0										
容器(历史列表项界面)	6	0	1	0	0	404	51	0	0	00000000|00000000	32|#FF1E1E20|0												
预览图	6	1	1	6	0	56	51	0	0	00000002|00000000	65540|0|0	33|0|0	135177|9|0				
名称	6	2	3	0	0	0	0	0	0	00000002|00000000	65540|0|0	33|0|0	65539|11|0	1111|#FFFFFFFF|0	4105|7|0	4103|67|0	4097|76|0	4100|48|0	5213|1|0				
开始时间	6	3	3	0	0	0	0	0	0	00000000|00000000	65540|0|0	65539|11|0	1111|#FFFFFFFF|0	4105|7|0	4103|155|0								
总共耗时	6	4	3	0	0	0	0	0	0	00000000|00000000	65540|0|0	65539|11|0	1111|#FFFFFFFF|0	4105|7|0	4103|280|0								
状态	6	5	2	0	0	0	0	0	0	00000000|00000000	65540|0|0	4105|7|0	4103|364|0										
禁点蒙板(文件信息界面)	7	0	1	56	0	424	272	0	0	00000000|00000000	33|0|0												
预览容器	7	1	1	10	10	210	251	0	0	00000002|00000000	65540|0|0	32|#FF242427|0	96|6|0	97|1|0	135177|9|0									
信息功能容器	7	2	1	230	10	184	251	0	0	00000002|00000000	65540|0|0	32|#FF1E1E20|0	96|6|0	135177|9|0								
名称	7	3	3	7	205	0	0	0	0	00000000|00000000	65540|1|0	65539|12|0	1111|#FFFFFFFF|0	4097|195|0	4100|16|0	5213|1|0							
时间	7	4	1	7	227	120	27	0	0	00000002|00000000	65540|1|0	33|0|0	65539|12|0	1111|#FFFFFFFF|0	266249|7|0	266247|23|0	135177|7|0	135175|0|0	65537|93|0				
层数	7	5	1	147	227	63	27	0	0	00000002|00000000	65540|1|0	33|0|0	65539|12|0	1111|#FFFFFFFF|0	266249|7|0	266247|23|0	135177|7|0	135175|0|0	65537|94|0				
延时摄影	7	6	1	10	99	164	40	0	0	00000000|00000000	65540|2|0	96|6|0	4146|1|0	65539|12|0	1111|#FFFFFFFF|0	266249|9|0	266241|164|0	5213|2|0	65538|29|0		
打印校准	7	7	1	10	149	164	40	0	0	00000000|00000000	65540|2|0	96|6|0	4146|1|0	65539|12|0	1111|#FFFFFFFF|0	266249|9|0	266241|164|0	5213|2|0	65538|30|0		
取消	7	8	1	10	209	74	32	0	0	00000000|00000000	65540|2|0	32|#FF2F302F|0	96|6|0	65539|12|0	1111|#FFFFFFFF|0	266249|9|0	266241|74|0	5213|2|0	65538|31|0		
打印	7	9	1	94	209	80	32	0	0	00000000|00000000	65540|2|0	32|#FF49AE35|0	96|6|0	65539|12|0	1111|#FFFFFFFF|0	266249|9|0	266241|80|0	5213|2|0	65538|32|0		
预览图	7	10	1	0	0	210	200	0	0	00000002|00000000	65540|1|0	32|#FF434343|0	135177|9|0									
线1	7	11	0	7	224	195	1	0	0	00000002|00000000	65540|1|0	32|#FF49AE35|0									
线2	7	12	0	10	200	164	1	0	0	00000002|00000000	65540|2|0	32|#FF49AE35|0									
平台容器	7	13	0	10	10	164	80	0	0	00000002|00000000	65540|2|0	32|#FF2F302F|0	96|6|0	4146|1|0	48|#FF555555|0									
A面	7	14	1	4	4	156	34	0	0	00000000|00000000	65540|13|0	96|6|0	4146|1|0	65539|12|0	1111|#FFFFFFFF|0	266249|9|0	266241|156|0	5213|2|0	65538|330|0		
B面	7	15	1	4	41	156	34	0	0	00000000|00000000	65540|13|0	96|6|0	4146|1|0	65539|12|0	1111|#FFFFFFFF|0	266249|9|0	266241|156|0	5213|2|0	65538|341|0		
